row	column	strain
1	1	0.1
1	2	0.1
2	1	0.1
2	2	0.1
1	3	0.2
1	4	0.2
2	3	0.2
2	4	0.2
1	5	0.3
1	6	0.3
2	5	0.3
2	6	0.3
1	7	0.4
1	8	0.4
2	7	0.4
2	8	0.4
1	9	0.5
1	10	0.5
2	9	0.5
2	10	0.5
1	11	0.6
1	12	0.6
2	11	0.6
2	12	0.6
1	13	0.7
1	14	0.7
2	13	0.7
2	14	0.7
1	15	0.8
1	16	0.8
2	15	0.8
2	16	0.8
1	17	0.9
1	18	0.9
2	17	0.9
2	18	0.9
1	19	1
1	20	1
2	19	1
2	20	1
1	21	1.1
1	22	1.1
2	21	1.1
2	22	1.1
1	23	1.2
1	24	1.2
2	23	1.2
2	24	1.2
3	1	0.1
3	2	0.1
4	1	0.1
4	2	0.1
3	3	0.2
3	4	0.2
4	3	0.2
4	4	0.2
3	5	0.3
3	6	0.3
4	5	0.3
4	6	0.3
3	7	0.4
3	8	0.4
4	7	0.4
4	8	0.4
3	9	0.5
3	10	0.5
4	9	0.5
4	10	0.5
3	11	0.6
3	12	0.6
4	11	0.6
4	12	0.6
3	13	0.7
3	14	0.7
4	13	0.7
4	14	0.7
3	15	0.8
3	16	0.8
4	15	0.8
4	16	0.8
3	17	0.9
3	18	0.9
4	17	0.9
4	18	0.9
3	19	1
3	20	1
4	19	1
4	20	1
3	21	1.1
3	22	1.1
4	21	1.1
4	22	1.1
3	23	1.2
3	24	1.2
4	23	1.2
4	24	1.2
5	1	0.1
5	2	0.1
6	1	0.1
6	2	0.1
5	3	0.2
5	4	0.2
6	3	0.2
6	4	0.2
5	5	0.3
5	6	0.3
6	5	0.3
6	6	0.3
5	7	0.4
5	8	0.4
6	7	0.4
6	8	0.4
5	9	0.5
5	10	0.5
6	9	0.5
6	10	0.5
5	11	0.6
5	12	0.6
6	11	0.6
6	12	0.6
5	13	0.7
5	14	0.7
6	13	0.7
6	14	0.7
5	15	0.8
5	16	0.8
6	15	0.8
6	16	0.8
5	17	0.9
5	18	0.9
6	17	0.9
6	18	0.9
5	19	1
5	20	1
6	19	1
6	20	1
5	21	1.1
5	22	1.1
6	21	1.1
6	22	1.1
5	23	1.2
5	24	1.2
6	23	1.2
6	24	1.2
7	1	0.1
7	2	0.1
8	1	0.1
8	2	0.1
7	3	0.2
7	4	0.2
8	3	0.2
8	4	0.2
7	5	0.3
7	6	0.3
8	5	0.3
8	6	0.3
7	7	0.4
7	8	0.4
8	7	0.4
8	8	0.4
7	9	0.5
7	10	0.5
8	9	0.5
8	10	0.5
7	11	0.6
7	12	0.6
8	11	0.6
8	12	0.6
7	13	0.7
7	14	0.7
8	13	0.7
8	14	0.7
7	15	0.8
7	16	0.8
8	15	0.8
8	16	0.8
7	17	0.9
7	18	0.9
8	17	0.9
8	18	0.9
7	19	1
7	20	1
8	19	1
8	20	1
7	21	1.1
7	22	1.1
8	21	1.1
8	22	1.1
7	23	1.2
7	24	1.2
8	23	1.2
8	24	1.2
9	1	0.1
9	2	0.1
10	1	0.1
10	2	0.1
9	3	0.2
9	4	0.2
10	3	0.2
10	4	0.2
9	5	0.3
9	6	0.3
10	5	0.3
10	6	0.3
9	7	0.4
9	8	0.4
10	7	0.4
10	8	0.4
9	9	0.5
9	10	0.5
10	9	0.5
10	10	0.5
9	11	0.6
9	12	0.6
10	11	0.6
10	12	0.6
9	13	0.7
9	14	0.7
10	13	0.7
10	14	0.7
9	15	0.8
9	16	0.8
10	15	0.8
10	16	0.8
9	17	0.9
9	18	0.9
10	17	0.9
10	18	0.9
9	19	1
9	20	1
10	19	1
10	20	1
9	21	1.1
9	22	1.1
10	21	1.1
10	22	1.1
9	23	1.2
9	24	1.2
10	23	1.2
10	24	1.2
11	1	0.1
11	2	0.1
12	1	0.1
12	2	0.1
11	3	0.2
11	4	0.2
12	3	0.2
12	4	0.2
11	5	0.3
11	6	0.3
12	5	0.3
12	6	0.3
11	7	0.4
11	8	0.4
12	7	0.4
12	8	0.4
11	9	0.5
11	10	0.5
12	9	0.5
12	10	0.5
11	11	0.6
11	12	0.6
12	11	0.6
12	12	0.6
11	13	0.7
11	14	0.7
12	13	0.7
12	14	0.7
11	15	0.8
11	16	0.8
12	15	0.8
12	16	0.8
11	17	0.9
11	18	0.9
12	17	0.9
12	18	0.9
11	19	1
11	20	1
12	19	1
12	20	1
11	21	1.1
11	22	1.1
12	21	1.1
12	22	1.1
11	23	1.2
11	24	1.2
12	23	1.2
12	24	1.2
13	1	0.1
13	2	0.1
14	1	0.1
14	2	0.1
13	3	0.2
13	4	0.2
14	3	0.2
14	4	0.2
13	5	0.3
13	6	0.3
14	5	0.3
14	6	0.3
13	7	0.4
13	8	0.4
14	7	0.4
14	8	0.4
13	9	0.5
13	10	0.5
14	9	0.5
14	10	0.5
13	11	0.6
13	12	0.6
14	11	0.6
14	12	0.6
13	13	0.7
13	14	0.7
14	13	0.7
14	14	0.7
13	15	0.8
13	16	0.8
14	15	0.8
14	16	0.8
13	17	0.9
13	18	0.9
14	17	0.9
14	18	0.9
13	19	1
13	20	1
14	19	1
14	20	1
13	21	1.1
13	22	1.1
14	21	1.1
14	22	1.1
13	23	1.2
13	24	1.2
14	23	1.2
14	24	1.2
15	1	0.1
15	2	0.1
16	1	0.1
16	2	0.1
15	3	0.2
15	4	0.2
16	3	0.2
16	4	0.2
15	5	0.3
15	6	0.3
16	5	0.3
